dictionary,{{en-verb|dictionar|ies}}
free,{{en-verb|d}}
cat,{{en-verb|catt}}
cat,{{en-verb|catt}}
word,{{en-verb}}
book,{{en-verb}}
pound,{{en-verb}}
pound,{{en-verb}}
rain cats and dogs,{{en-verb|head=[[rain]] [[cat]]s and [[dog]]s|rains cats and dogs|raining cats and dogs|rained cats and dogs}}
pond,{{en-verb}}
pond,{{en-verb}}
nonsense,{{en-verb|nonsens}}
pie,{{en-verb|d}}
crow,{{en-verb|crows|crowing|crowed|past2=crew|past2_qual=UK|crowed}}
raven,{{en-verb}}
brown,{{en-verb}}
march,{{en-verb|es}}
march,{{en-verb|marches|marching|marched}}
may,{{en-verb|may|-|might|-|past_ptc2=mought|past_ptc2_qual=obsolete}}
may,{{en-verb}}
august,{{en-verb}}
day,{{en-verb}}
Sunday,{{en-verb}}
noun,{{en-verb}}
minute,{{en-verb|minut}}
barter,{{en-verb}}
swap,{{en-verb|swapp}}
swop,{{en-verb|swops|swopping|swopped}}
trade,{{en-verb|trad}}
verb,{{en-verb}}
adjective,{{en-verb|adjectiv}}
craft,{{en-verb}}
patronage,{{en-verb|patronag}}
deal,{{en-verb|deals|dealing|dealt}}
merchandise,{{en-verb|merchandis}}
eagle,{{en-verb|eagles|eagling|eagled|eagled}}
head,{{en-verb}}
name,{{en-verb|nam}}
fable,{{en-verb|fabl}}
abacinate,{{en-verb|abacinat}}
abalienate,{{en-verb|abalienat}}
aband,{{en-verb}}
abandon,{{en-verb}}
abase,{{en-verb|abas}}
abash,{{en-verb|es}}
abate,{{en-verb|abat}}
abate,{{en-verb|abat}}
abbreviate,{{en-verb|abbreviat}}
abdicate,{{en-verb|abdicat}}
abduce,{{en-verb|abduc}}
abduct,{{en-verb}}
abear,{{en-verb|abears|abearing|abore|aborn|past_ptc2=aborne}}
abegge,{{en-verb|abegg}}
aberr,{{en-verb}}
aberrate,{{en-verb|aberrat}}
aberuncate,{{en-verb|aberuncat}}
abet,{{en-verb|abett}}
abhor,{{en-verb|abhorr}}
abide,{{en-verb|abides|abiding|abode|past2=abided|abode|past_ptc2=abided|past_ptc3=abidden|past_ptc3_qual=rare}}
abirritate,{{en-verb|abirritat}}
abject,{{en-verb}}
abjudge,{{en-verb|abjudg}}
abjudicate,{{en-verb|abjudicat}}
abjugate,{{en-verb|abjugat}}
abjure,{{en-verb|abjur}}
ablactate,{{en-verb|ablactat}}
ablaqueate,{{en-verb|ablaqueat}}
ablaut,{{en-verb}}
able,{{en-verb|abl}}
ablegate,{{en-verb|ablegat}}
abligate,{{en-verb|abligat}}
ablude,{{en-verb|ablud}}
abnegate,{{en-verb|abnegat}}
abode,{{en-verb|abod}}
abolish,{{en-verb|es}}
abolitionize,{{en-verb|abolitioniz}}
abominate,{{en-verb|abominat}}
abord,{{en-verb}}
abort,{{en-verb}}
abortive,{{en-verb|abortiv}}
abound,{{en-verb}}
abrade,{{en-verb|abrad}}
abrade,{{en-verb|abrad}}
abraid,{{en-verb|abraids|abraiding|abraided|past2=abraid}}
abrase,{{en-verb|abras}}
abray,{{en-verb}}
abrenounce,{{en-verb|abrenounc}}
abridge,{{en-verb|abridg}}
abroach,{{en-verb|es}}
abrogate,{{en-verb|abrogat}}
abrook,{{en-verb}}
abrupt,{{en-verb}}
abscess,{{en-verb|es}}
abscind,{{en-verb}}
absciss,{{en-verb|es}}
on,{{en-verb}}
abscond,{{en-verb}}
quiz,{{en-verb|quizz|es}}
calendar,{{en-verb}}
leap,{{en-verb|leaps|leaping|leaped|past2=leapt|past3=lept|past3_qual=archaic|past4=lope|past4_qual=archaic|leaped|past_ptc2=leapt|past_ptc3=lopen|past_ptc3_qual=archaic}}
watchlist,{{en-verb}}
winter,{{en-verb}}
bone,{{en-verb|bon}}
bone,{{en-verb|bon}}
bone,{{en-verb|bon}}
servant,{{en-verb}}
English,{{en-verb|es}}
absent,{{en-verb}}
absinthiate,{{en-verb|absinthiat}}
absist,{{en-verb}}
absolve,{{en-verb|absolv}}
absquatulate,{{en-verb|absquatulat}}
abstain,{{en-verb}}
absterge,{{en-verb|absterg}}
absterse,{{en-verb|absters}}
abstringe,{{en-verb|abstring}}
abstrude,{{en-verb|abstrud}}
absume,{{en-verb|absum}}
abut,{{en-verb|abutt}}
abut,{{en-verb|abutt}}
aby,{{en-verb|abys|abying|abought}}
accend,{{en-verb}}
accept,{{en-verb}}
accite,{{en-verb|accit}}
acclimate,{{en-verb|acclimat}}
accloy,{{en-verb}}
accoast,{{en-verb}}
accoil,{{en-verb}}
accolade,{{en-verb|accolad}}
accompt,{{en-verb}}
accordion,{{en-verb}}
accoy,{{en-verb}}
accresce,{{en-verb|accresc}}
accroach,{{en-verb|es}}
alien,{{en-verb}}
season,{{en-verb|seasons|seasoning|seasoned}}
summer,{{en-verb}}
spring,{{en-verb|springs|springing|sprang|past2=sprung|sprung}}
de,{{en-verb|diz|dein|did|dyun}}
color,{{en-verb}}
van,{{en-verb|vann}}
van,{{en-verb|vann}}
die,{{en-verb|dies|dying|died}}
in,{{en-verb|ins|inning|inned}}
google,{{en-verb|googl}}
google,{{en-verb|googl}}
lens,{{en-verb|lenses|lensing|lensed}}
orange,{{en-verb|orang}}
birth,{{en-verb}}
accord,{{en-verb}}
wolf,{{en-verb|wolfs|wolfing|wolfed|wolfed}}
star,{{en-verb|starr}}
sky,{{en-verb|skies|skying|skied|past2=skyed}}
obfuscate,{{en-verb|obfuscat}}
can,{{en-verb|can|-|could|couth|past_ptc_qual=obsolete except in adjective use}}
can,{{en-verb|cann}}
zero,{{en-verb|es}}
number,{{en-verb}}
alphabet,{{en-verb}}
teleport,{{en-verb}}
quarter,{{en-verb}}
quarter,{{en-verb}}
parole,{{en-verb|parol}}
shapeshift,{{en-verb|shapeshifts|shapeshifting|shapeshifted|shapeshifted}}
FTP,{{en-verb}}
PM,{{en-verb}}
grass,{{en-verb|es}}
one,{{en-verb|on}}
seme,{{en-verb|semes|seming|semed}}
letter,{{en-verb}}
medicine,{{en-verb|medicin}}
decrypt,{{en-verb}}
second,{{en-verb}}
second,{{en-verb}}
clock,{{en-verb}}
clock,{{en-verb}}
clock,{{en-verb}}
IRC,{{en-verb}}
beer,{{en-verb}}
encrypt,{{en-verb}}
OCR,{{en-verb|OCR}}
umbrella,{{en-verb}}
chairman,{{en-verb|chairmans|chairmanning|chairmanned}}
bit,{{en-verb|bitt}}
point,{{en-verb}}
sun,{{en-verb|sunn}}
man,{{en-verb|mann}}
vivify,{{en-verb|vivifies|vivifying|vivified}}
